FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -3.9354 14.2917 17.3152 11.0478 46.8993  15.731 42.1099 36.3399 77.4449 44.9695 6.97548 -28.627 33.6184 26.9474 71.1286 22.3791 18.5564 30.1328 29.0481 256.061 88.1095 -11.439 18.0941 15.6543 15.2669 14.6594 15.3918 10.7541
 -4.6186 13.8232 16.8004 11.6892 43.4425 16.9675  39.884 37.2209 78.2969 43.6924 4.93208 -27.709  31.106 25.4036 64.6602 20.5788 19.1061 31.2337 33.1478  242.77 63.0516 -11.696 18.1847  15.788    15.3 14.7201  15.456 10.8079
 -5.1678 13.1131 16.4158 12.1535 39.4344  18.047 37.0908 37.8545 78.7195 42.6228 3.05768 -27.011 28.5088  24.475  57.556 18.7651 19.8331 32.0561 37.1269 221.082 30.1263 -12.242 18.1963 15.9213 15.3495 14.7648 15.5161  10.861
  -5.523 12.2272 16.0966 12.5246 34.9758 19.0275 33.8742 38.2716  78.619 41.8019 1.30831 -26.457 25.7675  24.308 49.8782 17.0017 20.7153 32.5638 40.8828  191.07 -10.504 -13.104 18.1472 16.0502 15.4095 14.7959  15.572 10.9133
  -5.686 11.2355 15.8165 12.8495 30.2347 19.9131 30.3855 38.4965 77.9139 41.2414 -0.3564 -25.968 22.7877 24.8221 41.6873 15.3045 21.7237 32.8183 44.3603 154.174 -56.462 -14.239 18.0607 16.1693  15.478 14.8178  15.626 10.9651
 -5.7117 10.1867 15.5841 13.1387  25.411 20.6571 26.7498 38.5407 76.4913 40.8735 -1.9602 -25.495 19.4945 25.7477 33.0476 13.6115 22.7997 32.9405 47.5143 113.581 -103.01 -15.558   17.95 16.2748 15.5597 14.8367 15.6839 11.0161
 -5.6871 9.11994 15.4196 13.3855  20.705 21.2026 23.0563 38.4009 74.2125 40.5565 -3.5047  -25.04 15.8711 26.7484 24.0368 11.8075 23.8639 33.0746   50.29 73.0347 -145.63 -16.972 17.8164 16.3666 15.6571  14.859 15.7528 11.0665
 -5.7042 8.07815 15.3364 13.5836 16.3005 21.5056 19.3819 38.0635 70.9874  40.147 -4.9758 -24.649 11.9845 27.5257 14.7736 9.78573 24.8461 33.3739 52.6451 35.2325 -182.94 -18.444 17.6617 16.4485  15.762 14.8911 15.8372 11.1162
 -5.8189 7.10459 15.3308 13.7391 12.3457 21.5235 15.8088 37.4858 66.8282 39.5389 -6.3484 -24.384 7.98287 27.8619 5.42102 7.47356 25.7065 33.9815 54.5627 0.78688 -216.37 -19.994 17.4941  16.525 15.8605 14.9365 15.9357 11.1653
 -6.0213  6.2265 15.3867 13.8709 8.92868 21.1909 12.4008 36.5505 61.8322  38.636 -7.5821 -24.287 4.06831 27.6398 -3.8325  4.7992 26.4289 34.9737  56.012 -30.706 -246.45 -21.661 17.3256 16.5959  15.945 14.9948  16.042 11.2137
  -6.235  5.4435 15.4884 13.9975 6.05409 20.4175 9.17023 35.0596 56.1485 37.3397 -8.6155 -24.368 0.45842  26.881 -12.781 1.67093 26.9964 36.2984 56.8986 -58.192  -270.2 -23.445 17.1635 16.6558 16.0195 15.0643 16.1513 11.2616
 -6.3296 4.73653 15.6355 14.1192 3.64026 19.1239 6.07466 32.8081 49.9675 35.5777 -9.3624 -24.587 -2.6651 25.7381 -21.211 -1.9889 27.3895 37.7794 57.0839 -79.009 -282.82 -25.283 17.0074 16.7013 16.0916 15.1444 16.2633 11.3088
 -6.1486 4.08755 15.8621 14.1974 1.55578 17.2801 3.04842 29.6819 43.5223 33.3214 -9.7226 -24.851 -5.1717 24.3903 -28.931 -6.2048 27.6113 39.1891 56.4676 -91.624 -281.38 -27.056 16.8568 16.7379 16.1612 15.2342 16.3792 11.3554
 -5.5349 3.52193 16.2469 14.1462 -0.3323 14.9125 0.03702 25.7073 37.0748 30.5709 -9.6063 -25.026  -6.956 22.9592 -35.811  -10.94 27.7088 40.3289  55.059 -97.406 -266.18 -28.629 16.7199 16.7785 16.2209  15.328 16.4951 11.4014
