FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -203.75 -186.79 77.9915 -42.502 -134.52 -127.98 -199.26 -165.35  -287.6 -185.59 -156.11 -191.26 -367.04 -347.14 -377.07  -322.1 40.0356   -8.67 -161.67 3.33186 -14.986 -18.848 21.5669 20.7483 21.0288 20.2368  21.099 14.6033
 -199.55 -181.51 68.7743 -33.772 -165.21  -152.5 -225.65 -193.38 -305.56 -210.25 -182.13 -209.79 -395.04 -373.31 -395.78 -343.44 56.7819 -27.525 -191.37 2.92344 -14.317 -19.669 21.2461 20.7772 21.0311 20.2443 21.0644 14.6073
 -186.99 -164.04 57.6764 -23.313  -194.6  -176.1 -245.91 -215.42 -315.92 -228.85 -208.41  -226.9  -413.9 -390.64 -403.71 -354.39 76.9317 -42.439  -214.4 -2.4087 -15.626 -20.455 20.9839 20.8132  21.015 20.2542 21.0244 14.6113
 -165.97 -134.36 46.0773 -12.525 -218.37 -195.32 -255.98 -227.48 -314.95 -236.97 -232.28 -241.14 -419.91 -395.75 -397.39 -350.66 98.3031 -51.155 -227.07 -10.898 -16.181 -21.148 20.8096 20.8531 20.9897 20.2647 20.9909 14.6152
 -138.09 -95.008 35.8185 -3.2359 -231.39 -205.95 -251.74 -225.85 -299.07 -230.27 -250.09 -250.84 -410.29 -386.19 -374.26 -329.13 117.671 -51.561 -225.79 -20.038 -14.205 -21.656 20.7321 20.8879 20.9685 20.2748 20.9776 14.6191
 -106.74 -51.435 29.0196  2.4887 -229.05 -204.31  -230.5 -208.32 -266.25 -205.99 -257.86  -254.4 -384.16 -361.28 -333.91 -289.15 131.382 -42.479 -208.39 -30.097 -11.287 -21.897 20.7474 20.9099 20.9592 20.2847 20.9927 14.6229
 -76.885 -11.518 27.6614 2.75658 -209.13 -188.71 -192.69 -175.62 -217.71  -164.7 -252.73 -250.88  -343.3  -322.6 -278.89 -233.47 136.365 -24.424 -175.46 -43.849 -10.101 -21.852 20.8471 20.9172 20.9598 20.2948 21.0342 14.6267
 -54.408 15.9113 32.7616 -3.3299 -173.35 -160.55 -142.82 -132.07 -158.78 -111.17 -234.88 -240.85 -292.56  -274.4 -215.35 -168.71 131.147 0.02963  -131.2  -62.65 -10.663 -21.553 21.0118 20.9107 20.9672  20.305 21.0938 14.6304
 -45.062 23.3369 43.4709 -14.787 -127.83 -124.17 -89.186 -85.053  -98.33 -53.818 -208.29 -226.73 -239.88  -223.7 -152.68 -104.85 116.328 26.5268  -82.91 -83.917 -10.281 -21.006  21.199  20.891  20.984 20.3154 21.1649 14.6341
 -52.804 6.86527 56.9961 -28.725 -81.506 -85.618 -41.665 -43.165 -46.427  -2.492 -179.71 -212.21 -195.13 -179.25 -101.58 -53.032 94.3138  49.947 -39.182 -103.16 -7.2989  -20.14 21.3476 20.8628 21.0156 20.3266 21.2425 14.6377
  -78.03 -32.447 69.7479 -41.566 -43.329 -51.039 -8.6723 -13.804 -11.144 34.5208 -156.11 -200.96 -167.29 -149.29 -70.731 -22.382 68.5206 65.8279 -7.3033 -117.26 -3.5227 -18.842 21.4071 20.8387 21.0596 20.3393 21.3213 14.6413
 -117.01 -88.842 78.8687  -50.56   -19.6 -25.443 5.08785 -1.5094 3.59636 52.5078 -142.27 -195.35 -161.59 -139.18  -64.17 -17.608 42.4445 71.4943 8.51791 -124.97 -1.9589 -17.034 21.3611 20.8335 21.1037  20.354  21.392 14.6448
  -163.1 -153.49 83.0127  -54.49  -12.96 -12.025 -1.0471 -7.5945 -1.8342 50.6241 -139.84 -195.97 -178.42 -150.37 -80.961 -38.505 18.9493 66.3422 7.36749 -125.67 -3.0533 -14.708 21.2249 20.8536 21.1354 20.3696 21.4436 14.6483
 -208.89 -216.83 82.1885  -53.45 -22.875 -12.009 -24.828 -30.722 -24.144 30.9179 -147.76  -201.8 -213.87 -180.42 -116.65 -80.897 -0.0572 51.3867 -9.3031 -118.73 -4.5268 -11.934  21.024 20.8916 21.1539 20.3867 21.4696 14.6517
 -248.13 -270.83 77.2034 -48.295 -46.777 -24.782 -62.532  -67.78 -58.789 -2.9507 -163.38 -210.88 -261.33 -223.95 -165.17 -138.16  -13.61 28.5746 -38.797 -103.83 -4.9328 -8.8345 20.7792 20.9324 21.1686 20.4082 21.4721 14.6551
 -276.78 -310.29 69.1601 -40.151 -81.123 -48.252 -110.02 -114.73 -101.15  -46.73  -183.5 -221.08 -313.39    -274 -220.33 -202.72 -21.498 0.19694 -77.957 -82.244 -5.9264 -5.5467 20.5092 20.9668 21.1871 20.4373 21.4584 14.6585
 -293.11 -332.89  59.135  -30.09 -122.17 -79.369  -163.3 -167.29 -147.11 -96.226 -205.11 -230.51 -363.46 -323.59 -276.64 -267.36 -24.018 -31.514 -123.61 -57.772 -9.9485 -2.2232 20.2346 20.9969 21.2078 20.4731 21.4356 14.6618
 -297.22 -338.63 48.0165  -18.97 -166.43 -114.69 -218.84 -221.45 -193.25 -147.65 -225.72 -237.74 -406.78 -367.14 -329.66 -326.04 -21.788 -64.613 -172.75 -35.409 -16.531 0.98003 19.9769 21.0274 21.2251 20.5089 21.4077  14.665
